segment,n,median_gap,mean_gap,std_gap
Indie,46015,0.002569179898380791,-0.007732546216968252,0.22638917677367784
Non-Indie,17583,-0.00556427381805169,-0.02774288103804854,0.21854972865051203
Free To Play,10377,-0.02044346616845638,-0.06372264342681286,0.2577523504061007
Paid,53221,0.004584905805360584,-0.003426585757985843,0.21596722145138741
First-time developer,37153,-0.02042915262125697,-0.030800755151050855,0.22860222570794636
Experienced developer,26445,0.023487924784926117,0.011371687073593905,0.21603675660548693
Release year 2017,5765,0.01716832840390259,0.011289921620152842,0.22031548685673558
Release year 2018,7332,0.01900100094359161,0.010369121075934584,0.22916015086442101
Release year 2019,7102,0.0023187329637147647,-0.0044688345179296,0.22457869996375648
Release year 2020,8636,-0.035127666326090434,-0.04180775582664984,0.23099679313950008
Release year 2021,10312,-0.0037762685046789923,-0.019577805514767024,0.22334773070242056
Release year 2022,11277,0.0,-0.017355946335996728,0.22122834240253364
Release year 2023,13174,0.003110375126360976,-0.014751040380305027,0.2199904179242557
