target_candidate,feature,relationship,leakage_risk,recommended_action,reason
total_reviews cohort-percentile (visibility),positive,directly constructs target,critical,exclude,total_reviews = positive + negative; this is the target's own components
total_reviews cohort-percentile (visibility),negative,directly constructs target,critical,exclude,total_reviews = positive + negative; this is the target's own components
total_reviews cohort-percentile (visibility),total_reviews (raw),is the pre-normalization target,critical,exclude,raw value the cohort percentile is computed from
total_reviews cohort-percentile (visibility),positive_ratio,co-determined by same review-generating process,high,exclude,"not a leak of the exact target value, but generated by the same accumulation process; encodes review-volume-adjacent information (denominator = total_reviews) that a real launch-time predictor would not have"
total_reviews cohort-percentile (visibility),recommendations,contemporaneous popularity outcome,high,exclude,Spearman rank correlation with total_reviews = 0.54; a current cumulative outcome measured the same way as the target (accumulates post-launch)
total_reviews cohort-percentile (visibility),peak_ccu,contemporaneous popularity outcome,high,exclude,Spearman rank correlation with total_reviews = 0.51; all-time cumulative peak concurrent users cannot be known pre-accumulation
total_reviews cohort-percentile (visibility),estimated_owners / own_mid,near-duplicate popularity proxy,high,exclude,"Spearman rank correlation with total_reviews = 0.67; both are current cumulative outcomes describing the same underlying construct (player reach), own_mid is coarser (14 unique values) but still a post-launch accumulation"
total_reviews cohort-percentile (visibility),average_playtime_forever,post-launch cumulative outcome,moderate,exclude,"91.4% zero and weak signal regardless, but still a cumulative post-launch engagement measure; excluded on leakage grounds even though its standalone value is already low"
total_reviews cohort-percentile (visibility),median_playtime_forever,post-launch cumulative outcome,moderate,exclude,Same rationale as average_playtime_forever; near-constant zero in every cohort
total_reviews cohort-percentile (visibility),average_playtime_2weeks,current rolling-window outcome,moderate,exclude,"Reflects current 2-week activity window at snapshot time, not launch-available information"
total_reviews cohort-percentile (visibility),median_playtime_2weeks,current rolling-window outcome,moderate,exclude,Same rationale as average_playtime_2weeks
total_reviews cohort-percentile (visibility),dlc_count,post-launch cumulative outcome,moderate,exclude,Grows by definition after launch as DLC ships; not known at launch and can itself be a symptom of a game's post-launch popularity/investment
total_reviews cohort-percentile (visibility),achievements,ambiguous timing,low-moderate,use with caution,Usually set near launch but can be patched later (Phase 1 finding); acceptable as a predictor only with an explicit caveat that a small share of rows may reflect post-launch patches
total_reviews cohort-percentile (visibility),metacritic_score,near-launch external signal with quality issues,moderate,use with caution,"26.8% missing and the non-missing median is 0 (mixes 'truly absent' with 'present but unscored' per Phase 1); if used, must be cleaned (missing vs. zero) and documented as usually-but-not-always available near launch"
total_reviews cohort-percentile (visibility),user_score,near-constant/deprecated field,low (quality issue not leakage),exclude,>99% of values are 0 in this snapshot (Phase 1); not usable regardless of leakage status
total_reviews cohort-percentile (visibility),price (current),temporally ambiguous,moderate,use with caution,"Documented as CURRENT price, not launch price (Phase 1/2); a game's price can change after launch including permanent cuts and F2P conversions, so it is an imperfect proxy for launch-time pricing strategy -- usable only with this caveat stated explicitly"
total_reviews cohort-percentile (visibility),price_status,temporally ambiguous,moderate,use with caution,Current paid/free/unavailable status; can change post-launch (e.g. F2P conversion); same caveat as price
