feature,feature_family,source_column,transformation,temporal_status,leakage_status,included,reason
genre__Action,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Adventure,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Animation & Modeling,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Audio Production,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Casual,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Design & Illustration,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Early Access,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Education,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Free To Play,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Game Development,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Gore,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Indie,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Massively Multiplayer,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Nudity,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Photo Editing,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__RPG,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Racing,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Sexual Content,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Simulation,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Software Training,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Sports,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Strategy,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Utilities,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Video Production,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Violent,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
genre__Web Publishing,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__#category_playable_at_your_own_pace,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Adjustable Difficulty,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Adjustable Text Size,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Camera Comfort,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
category__Captions available,genre_category,genres/categories,"multi-hot, train-vocab >= 50 count",A: stable descriptive metadata,"checked against outputs/phase3_leakage_map.csv -- low/moderate risk, included with the caveat above",True,passes Phase 3 leakage ruling for the visibility target; not a contemporaneous or post-launch outcome
